Name;1.Semester;2.Semester;Summer Exam;Diploma
MAJ;44,84;58,14;49,76;84,86
MB;49,83;58,36;53,82;90,01
LC;48,16;56,14;57,50;89,89
MD;41,53;50,97;42,33;74,91
IF;34,28;58,80;59,13;84,57
DI;49,25;57,74;61,92;93,84
SJ;46,27;54,96;41,75;79,44
MIJ;33,15;46,34;12,33;51,01
DK;45,74;58,02;47,87;84,24
EL;49,25;59,33;0,00;98,71
AN;48,16;52,54;42,60;79,61
LR;42,46;51,91;27,67;67,80
SS;49,25;57,26;61,81;93,51
LS;49,83;58,48;67,28;97,55
SSB;45,55;58,32;42,93;81,56
HS;39,20;51,91;27,39;65,84
AT;47,99;55,54;14,50;65,57
SVA;45,13;55,56;52,59;85,15
SV;38,42;56,58;24,87;66,60
Maximum Value;50;60;70;100
